255980755658656	255980755661611	2955
255980756868836	255980756871762	2926
255980757780661	255980757783286	2625
255980761100109	255980761103530	3421
255980763169441	255980763171961	2520
255980763540979	255980763543619	2640
255980765167630	255980765170256	2626
255980766147657	255980766150957	3300
255980766151737	255980766154438	2701
255980766230966	255980766233606	2640
255980766481208	255980766483819	2611
255980768098393	255980768101228	2835
255980769542868	255980769545899	3031
255980772811188	255980772814324	3136
255980773329901	255980773332467	2566
255980774887586	255980774890121	2535
255980774974736	255980774977226	2490
255980775198829	255980775201274	2445
255980775341593	255980775344248	2655
255980775441630	255980775444180	2550
255980778786448	255980778789148	2700
255980779474375	255980779476880	2505
255980779946205	255980779948620	2415
255980780070651	255980780073051	2400
255980780958547	255980780961397	2850
255980781355424	255980781357944	2520
255980782091614	255980782094059	2445
255980782698617	255980782701048	2431
255980783507614	255980783510060	2446
255980783809736	255980783812196	2460
255980784741094	255980784743944	2850
255980785480164	255980785483060	2896
255980785509419	255980785512330	2911
255980785577336	255980785579841	2505
255980786751405	255980786753941	2536
255980786869175	255980786871936	2761
255980787222605	255980787225201	2596
255980787629519	255980787632055	2536
255980788480149	255980788482924	2775
255980792320846	255980792325602	4756
255980792386347	255980792389528	3181
255980793974352	255980793978778	4426
255980794011423	255980794014169	2746
255980794189863	255980794193044	3181
255980797988839	255980797994705	5866
255980798189213	255980798192108	2895
255980798927473	255980798930338	2865
255980799248542	255980799251153	2611
255980799611844	255980799614950	3106
255980801881505	255980801885315	3810
255980803090455	255980803093815	3360
255980804863516	255980804866846	3330
255980805209280	255980805211800	2520
255980806449735	255980806452871	3136
255980807355169	255980807358079	2910
255980807674993	255980807677499	2506
255980809732863	255980809736628	3765
255980811562873	255980811565304	2431
255980811995112	255980811997932	2820
255980813191850	255980813196486	4636
255980813559938	255980813562518	2580
255980813900841	255980813903721	2880
255980816447823	255980816450673	2850
255980818388418	255980818391073	2655
255980818396354	255980818398994	2640
255980819164904	255980819167275	2371
255980820660688	255980820663554	2866
255980821965040	255980821967680	2640
255980822475337	255980822477902	2565
255980822881951	255980822884516	2565
255980823776282	255980823778668	2386
255980824630648	255980824633543	2895
255980826430263	255980826432574	2311
255980829068971	255980829071627	2656
255980829722782	255980829725333	2551
255980830139928	255980830142644	2716
255980830153640	255980830156206	2566
255980831909809	255980831913004	3195
255980831928442	255980831931157	2715
255980834476849	255980834483016	6167
255980834828014	255980834831045	3031
255980835678524	255980835681359	2835
255980836342191	255980836345447	3256
255980837226126	255980837229097	2971
255980837432876	255980837435787	2911
255980838528002	255980838531153	3151
255980838790217	255980838793022	2805
255980840691835	255980840694730	2895
255980843426844	255980843430340	3496
255980844488905	255980844491680	2775
255980846705801	255980846708757	2956
255980848142970	255980848145821	2851
255980848370784	255980848373424	2640
255980849112225	255980849114835	2610
255980850182806	255980850185582	2776
255980850647315	255980850649611	2296
255980850795601	255980850797971	2370
255980851031306	255980851033841	2535
255980851388771	255980851391187	2416
255980851856026	255980851858411	2385
255980852040842	255980852043422	2580
255980852177770	255980852180396	2626
255980852836517	255980852839038	2521
255980853530490	255980853532965	2475
255980855554454	255980855557049	2595
255980856656751	255980856659376	2625
255980857643243	255980857645764	2521
255980858311262	255980858313692	2430
255980858685485	255980858688306	2821
255980860768109	255980860771154	3045
255980861995842	255980861998333	2491
255980862656420	255980862659270	2850
255980864234117	255980864237073	2956
255980865246519	255980865249310	2791
255980867574420	255980867577465	3045
255980868522701	255980868525641	2940
255980869124828	255980869127573	2745
255980869165230	255980869167960	2730
255980869260136	255980869263016	2880
255980869485114	255980869488100	2986
255980874422228	255980874425288	3060
255980874609894	255980874612745	2851
255980875171290	255980875173780	2490
255980876044153	255980876046898	2745
255980878056940	255980878059415	2475
255980878142334	255980878144840	2506
255980878620705	255980878623526	2821
255980879129922	255980879132667	2745
255980880032700	255980880035656	2956
255980881472915	255980881475315	2400
255980882379879	255980882382324	2445
255980882618869	255980882621300	2431
255980882746556	255980882749016	2460
255980884441844	255980884444799	2955
255980885466728	255980885469683	2955
255980886125145	255980886128040	2895
255980889429366	255980889432261	2895
255980890677953	255980890680713	2760
255980891662675	255980891665586	2911
255980893112371	255980893114997	2626
255980893451774	255980893454264	2490
255980894995146	255980894997921	2775
255980895084156	255980895086857	2701
255980895180938	255980895183983	3045
255980896235407	255980896238167	2760
255980898290246	255980898292976	2730
255980899913026	255980899915486	2460
255980904206470	255980904209321	2851
255980904511982	255980904514577	2595
255980905170294	255980905172769	2475
255980907584534	255980907587279	2745
255980908043372	255980908046387	3015
255980908486067	255980908488557	2490
255980909781522	255980909783877	2355
255980910075092	255980910077612	2520
255980910527614	255980910530014	2400
255980910806541	255980910809166	2625
255980911806191	255980911808771	2580
255980913187460	255980913190281	2821
255980916596054	255980916599190	3136
255980917623263	255980917625964	2701
255980919337379	255980919339870	2491
255980919744669	255980919747489	2820
255980920791441	255980920794367	2926
255980921878451	255980921881211	2760
255980922385117	255980922387697	2580
255980922627753	255980922630124	2371
255980924554470	255980924557306	2836
255980924732191	255980924735131	2940
255980925694034	255980925696479	2445
255980926571113	255980926573723	2610
255980928013713	255980928016473	2760
255980928366828	255980928369333	2505
255980929798116	255980929800621	2505
255980930478136	255980930480687	2551
255980931588430	255980931590965	2535
255980932412055	255980932414755	2700
255980934082993	255980934085679	2686
255980935700733	255980935703779	3046
255980937408488	255980937411159	2671
255980938262238	255980938264819	2581
255980939311681	255980939314277	2596
255980946017745	255980946020716	2971
255980946895289	255980946898590	3301
255980946922069	255980946924454	2385
255980946995566	255980946997951	2385
255980947479893	255980947482219	2326
255980947839684	255980947842475	2791
255980948069133	255980948071849	2716
255980948285185	255980948287841	2656
255980948658343	255980948660834	2491
255980951176776	255980951179207	2431
255980951879765	255980951882256	2491
255980953278678	255980953281288	2610
255980955417066	255980955419587	2521
255980955668989	255980955671479	2490
255980955790930	255980955793570	2640
255980956067172	255980956069932	2760
255980956418186	255980956420797	2611
255980956643584	255980956646030	2446
255980956683236	255980956685592	2356
255980957206900	255980957209240	2340
255980957369813	255980957372393	2580
255980958214096	255980958216601	2505
255980959659126	255980959661497	2371
255980960252732	255980960255538	2806
255980963365431	255980963367981	2550
255980963817623	255980963819993	2370
255980965190071	255980965192846	2775
255980965827769	255980965830274	2505
255980967311191	255980967313801	2610
255980968151844	255980968154604	2760
255980970833174	255980970835544	2370
255980970940067	255980970942662	2595
255980970968077	255980970970477	2400
255980971306234	255980971308680	2446
255980973168770	255980973171441	2671
255980973181718	255980973184073	2355
255980974875475	255980974878056	2581
255980976138015	255980976140820	2805
255980978160433	255980978162864	2431
255980978917927	255980978920417	2490
255980980373819	255980980376444	2625
255980981098262	255980981101067	2805
255980984450701	255980984453942	3241
